,experiment_num,experiment,number of inputs,food found,area found,pricerange found,total words,average of sentences,median of sentences,sd of sentences,did_not_understand,participant,jaro-winkler,completed
0,1,exp_portugal_9_1,6,4.0,1.0,,28,4.666666666666667,4.5,3.4960294939005045,2,Marike,0.9,True
1,2,exp_tuscan_9_2,3,1.0,,,15,5.0,4.0,3.7416573867739413,0,Marike,0.9,True
2,3,exp_british_9_3,4,1.0,2.0,1.0,23,5.75,6.0,3.491060010942235,0,Marike,0.9,True
3,4,exp_turkey_8_4,6,1.0,1.0,3.0,27,4.5,4.0,2.7537852736430506,1,Marike,0.8,True
4,5,exp_jamaica_8_5,3,1.0,,,12,4.0,2.0,3.559026084010437,0,Marike,0.8,True
5,6,exp_indian_8_6,5,1.0,1.0,2.0,33,6.6,8.0,3.2619012860600183,0,Marike,0.8,True
6,1,exp_portugal_9_1,6,1.0,1.0,4.0,36,6.0,4.5,4.654746681256313,2,TJ8,0.9,True
7,2,exp_tuscan_9_2,2,1.0,,,8,4.0,4.0,2.0,0,TJ8,0.9,True
8,3,exp_british_9_3,5,3.0,1.0,1.0,29,5.8,3.0,3.867815921162743,2,TJ8,0.9,True
9,4,exp_turkey_8_4,7,1.0,1.0,5.0,34,4.857142857142857,3.0,4.120630029101704,3,TJ8,0.8,True
10,5,exp_jamaica_8_5,2,1.0,,,6,3.0,3.0,2.0,0,TJ8,0.8,True
11,6,exp_indian_8_6,13,1.0,3.0,2.0,42,3.2307692307692317,3.0,2.4543163282375104,5,TJ8,0.8,True
12,1,exp_portugal_9_1,4,1.0,1.0,2.0,19,4.75,4.0,3.897114317029974,0,607054,0.9,True
13,2,exp_tuscan_9_2,2,1.0,,,6,3.0,3.0,2.0,0,607054,0.9,True
14,3,exp_british_9_3,4,1.0,1.0,1.0,25,6.25,6.5,3.561951712193752,0,607054,0.9,True
15,4,exp_turkey_7_4,9,1.0,1.0,3.0,66,7.333333333333332,10.0,4.496912521077347,1,607054,0.7,False
16,5,exp_jamaica_7_5,5,1.0,2.0,,20,4.0,5.0,2.5298221281347035,1,607054,0.7,False
17,6,exp_indian_7_6,2,1.0,1.0,,11,5.5,5.5,4.5,0,607054,0.7,False
18,1,exp_portugal_9_1,7,1.0,1.0,2.0,20,2.8571428571428568,2.0,2.3560603574958057,1,504338,0.9,True
19,2,exp_tuscan_9_2,2,1.0,,,11,5.5,5.5,3.5,0,504338,0.9,True
20,3,exp_british_9_3,3,1.0,1.0,1.0,19,6.333333333333332,7.0,3.2998316455372216,0,504338,0.9,True
21,4,exp_turkey_7_4,6,1.0,1.0,2.0,30,5.0,3.5,4.358898943540674,0,504338,0.7,False
22,5,exp_jamaica_7_5,4,1.0,,,9,2.25,2.5,0.82915619758885,1,504338,0.7,True
23,6,exp_indian_7_6,7,1.0,1.0,2.0,17,2.4285714285714284,1.0,2.1285234893930483,1,504338,0.7,True
24,1,exp_portugal_9_1,11,1.0,1.0,4.0,95,8.636363636363637,8.0,4.772510817602432,1,FK8,0.9,True
25,2,exp_tuscan_9_2,8,1.0,1.0,3.0,70,8.75,8.0,4.054318685056714,1,FK8,0.9,True
26,3,exp_british_9_3,9,1.0,1.0,2.0,59,6.5555555555555545,7.0,3.02254900194121,2,FK8,0.9,True
27,4,exp_turkey_8_4,11,2.0,2.0,3.0,66,6.0,6.0,4.410730716621165,1,FK8,0.8,False
28,5,exp_jamaica_8_5,6,2.0,2.0,,36,6.0,7.5,3.7416573867739413,0,FK8,0.8,False
29,6,exp_indian_8_6,8,1.0,1.0,2.0,62,7.75,7.5,5.425633603552677,0,FK8,0.8,False
30,1,exp_portugal_9_1,4,1.0,1.0,2.0,18,4.5,2.5,4.38748219369606,0,Rob,0.9,True
31,2,exp_tuscan_9_2,2,1.0,,1.0,7,3.5,3.5,2.5,0,Rob,0.9,True
32,3,exp_british_9_3,3,1.0,1.0,1.0,22,7.333333333333332,7.0,2.8674417556808764,0,Rob,0.9,True
33,4,exp_turkey_8_4,6,1.0,1.0,2.0,19,3.1666666666666665,2.0,2.4776781245530843,1,Rob,0.8,True
34,5,exp_jamaica_8_5,2,1.0,,1.0,4,2.0,2.0,1.0,0,Rob,0.8,True
35,6,exp_indian_8_6,6,1.0,1.0,2.0,21,3.5,3.0,2.4324199198877365,0,Rob,0.8,False
36,1,exp_portugal_9_1,5,1.0,1.0,2.0,24,4.8,2.0,4.9558046773455455,1,Marien,0.9,True
